"lemma","poscode","surface"
"transaccion","3","transaccion","transacciones","compra"
"cuota","3","cuota","cuotas"
"compra","3","compra","compras internacionales","comprar","compré","compramos"
"pago","3","pago","pagar","pagué","liquidar","liquidé","saldar","saldé"
"prepago","3","prepago","acelerar pago"
"devolución","3","devolución","devolución"
"transferencia electrónica","3","transferencia electrónica","transferencia","transferencia programada","traspaso programado"
"refinanciar","4","refinanciar","refinanciamiento","rebaja de tasa","rebajar la tasa","rebajar","recalcular la tasa","amortizar"
"aumento de cupo","4","aumento de cupo","aumentar cupo","ampliar cupo"
"abonar","4","abonar","abono"
"compra de cartera","3","compra de cartera","consolidar deudas"
"cobro","3","cobro","cuota","cargo","descuento"
"repactar","2","repactar","renegociar"
"disminución de cupo","2","disminución de cupo""","disminución de cupo"
"cargo","3","cargo","mantención"
"depósito","3","depósito","deposito"
"upgrade","2","upgrade"
"rescate","3","rescate","retiro"
"venta","3","venta","vender"
